,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
8,9,1-1/2 STORY FIN,RM,51.0,6120,Pave,,0,Lvl,3,Inside,0,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,WdShing,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,952,952,GasA,4,1,3,1022,752,0,1774,0,0,2,0,2,2,3,8,1,2,3,Detchd,1931.0,1,2,468,2,3,2,90,0,205,0,0,0,0,0,,0,Apr,2008,WD,Abnorml,129900
15,16,1-1/2 STORY UNF,RM,51.0,6120,Pave,,0,Lvl,3,Corner,0,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,832,832,GasA,5,1,4,854,0,0,854,0,0,1,0,2,1,3,5,0,0,0,Detchd,1991.0,1,2,576,3,3,2,48,112,0,0,0,0,0,4,,0,July,2007,WD,Normal,132000
21,22,1-1/2 STORY UNF,RM,57.0,7449,Pave,Grvl,0,Bnk,3,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0,1,0,1,0,637,637,GasA,5,1,3,1108,0,0,1108,0,0,1,0,3,1,4,6,0,1,4,Attchd,1930.0,1,1,280,3,3,0,0,0,205,0,0,0,0,4,,0,June,2007,WD,Normal,139400
23,24,1-STORY PUD 1946+,RM,44.0,4224,Pave,,0,Lvl,3,Inside,0,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,0,6,840,1,0,200,1040,GasA,3,1,5,1060,0,0,1060,1,0,1,0,3,1,3,6,0,1,3,Attchd,1976.0,1,2,572,3,3,2,100,110,0,0,0,0,0,0,,0,June,2007,WD,Normal,129900
29,30,1-STORY 1945-,RM,60.0,6324,Pave,,1,Lvl,3,Inside,0,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,520,520,GasA,2,0,5,520,0,0,520,0,0,1,0,1,1,2,4,0,0,0,Detchd,1920.0,1,1,240,2,3,2,49,0,87,0,0,0,0,0,,0,May,2008,WD,Normal,68500
48,49,2 FAMILY CONVERSION,RM,33.0,4456,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,736,736,GasA,4,1,5,736,716,0,1452,0,0,2,0,2,3,3,8,0,0,0,,1920.0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,,0,June,2009,New,Partial,113000
51,52,1-1/2 STORY FIN,RM,52.0,6240,Pave,,0,Lvl,3,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0,1,0,1,0,816,816,GasA,3,1,5,816,0,360,1176,0,0,1,0,3,1,3,6,0,1,4,Detchd,1985.0,1,2,528,3,3,2,112,0,0,0,0,0,0,3,Shed,400,Sept,2006,WD,Normal,114500
52,53,DUPLEX,RM,110.0,8472,Grvl,,2,Bnk,3,Corner,1,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4,3,3,2,104,6,712,0,816,GasA,3,0,5,816,0,0,816,1,0,1,0,2,1,3,5,0,0,0,CarPort,1963.0,1,2,516,3,3,2,106,0,0,0,0,0,0,0,,0,May,2010,WD,Normal,110000
61,62,2-1/2 STORY,RM,60.0,7200,Pave,,0,Lvl,3,Inside,0,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,2,0,1,0,1,0,530,530,GasA,3,0,5,581,530,0,1111,0,0,1,0,3,1,2,6,0,0,0,Detchd,1935.0,1,1,288,3,3,0,0,0,144,0,0,0,0,0,,0,Mar,2007,WD,Normal,101000
63,64,2-STORY 1945-,RM,50.0,10300,Pave,,1,Bnk,3,Inside,0,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,576,576,GasA,4,1,5,902,808,0,1710,0,0,2,0,3,1,3,9,0,0,0,Detchd,1990.0,1,2,480,3,3,2,12,11,64,0,0,0,0,4,,0,Apr,2010,WD,Normal,140000
68,69,1-STORY 1945-,RM,47.0,4608,Pave,,0,Lvl,3,Corner,0,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,0,1,0,1,0,747,747,GasA,3,1,5,747,0,0,747,0,0,1,0,2,1,3,4,0,0,0,Attchd,1945.0,1,1,220,3,3,2,0,0,0,0,0,0,0,0,,0,June,2010,WD,Normal,80000
74,75,1-1/2 STORY FIN,RM,60.0,5790,Pave,,0,Lvl,3,Corner,0,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,1950,Gambrel,CompShg,VinylSd,VinylSd,None,0.0,4,4,CBlock,2,3,0,1,0,1,0,840,840,GasA,4,0,5,840,765,0,1605,0,0,2,0,3,2,3,8,0,0,0,Detchd,1915.0,1,1,379,3,3,2,0,0,202,0,0,0,0,0,,0,May,2010,WD,Normal,107400
75,76,MULTILEVEL PUD,RM,21.0,1596,Pave,,0,Lvl,3,Inside,0,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,1973,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,4,3,3,6,462,1,0,0,462,GasA,3,1,5,526,462,0,988,1,0,1,0,2,1,3,5,0,0,0,BuiltIn,1973.0,1,1,297,3,3,2,120,101,0,0,0,0,0,2,,0,Nov,2009,WD,Normal,91000
77,78,1-1/2 STORY FIN,RM,50.0,8635,Pave,,0,Lvl,3,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,4,336,6,41,295,672,GasA,3,1,5,1072,213,0,1285,1,0,1,0,2,1,3,6,1,0,0,Detchd,1948.0,1,1,240,3,3,2,0,0,0,0,0,0,0,3,,0,Jan,2008,WD,Normal,127000
79,80,1-1/2 STORY FIN,RM,60.0,10440,Pave,Grvl,0,Lvl,3,Corner,0,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0,1,0,1,0,440,440,GasA,4,1,5,682,548,0,1230,0,0,1,1,2,1,3,5,0,0,0,Detchd,1966.0,1,2,440,3,3,2,74,0,128,0,0,0,0,3,,0,May,2009,WD,Normal,110000
81,82,1-STORY PUD 1946+,RM,32.0,4500,Pave,,0,Lvl,3,FR2,0,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,443.0,3,4,PConc,5,4,0,6,1201,1,0,36,1237,GasA,5,1,5,1337,0,0,1337,1,0,2,0,2,1,3,5,0,0,0,Attchd,1998.0,3,2,405,3,3,2,0,199,0,0,0,0,0,0,,0,Mar,2006,WD,Normal,153500
104,105,1-1/2 STORY FIN,RM,,7758,Pave,,0,Lvl,3,Corner,0,IDOTRR,Norm,Norm,1Fam,1.5Fin,7,4,1931,1950,Gable,CompShg,Stucco,Stucco,BrkFace,600.0,3,2,PConc,3,3,0,2,224,1,0,816,1040,GasA,5,1,3,1226,592,0,1818,0,0,1,1,4,1,3,7,0,2,3,Detchd,1951.0,1,1,240,3,3,2,0,0,0,0,184,0,0,0,,0,June,2007,WD,Normal,169500
106,107,1-STORY 1945-,RM,60.0,10800,Pave,Grvl,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1Story,4,7,1885,1995,Mansard,CompShg,VinylSd,VinylSd,None,0.0,3,3,BrkTil,2,3,0,1,0,1,0,641,641,GasA,4,1,5,1047,0,0,1047,0,0,1,0,2,1,3,6,0,0,0,Detchd,1954.0,1,1,273,2,2,0,0,0,0,0,0,0,0,0,Shed,450,Aug,2007,WD,Normal,100000
107,108,1-STORY 1946+,RM,50.0,6000,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0,5,104,4,169,516,789,GasA,5,1,5,789,0,0,789,0,0,1,0,2,1,3,5,0,0,0,Detchd,1948.0,1,1,250,3,3,2,0,0,0,0,0,0,0,0,,0,Apr,2008,WD,Partial,115000
108,109,1-1/2 STORY FIN,RM,85.0,8500,Pave,,0,Lvl,3,Corner,0,IDOTRR,Artery,Norm,1Fam,1.5Fin,5,7,1919,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,3,3,0,1,0,1,0,793,793,GasW,3,0,3,997,520,0,1517,0,0,2,0,3,1,2,7,0,0,0,,1919.0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,,0,Aug,2007,WD,Normal,115000
121,122,1-1/2 STORY FIN,RM,50.0,6060,Pave,,0,Lvl,3,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1939,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,PConc,3,3,0,1,0,1,0,732,732,GasA,4,1,5,772,351,0,1123,0,0,1,0,3,1,3,4,0,0,0,Detchd,1979.0,1,1,264,3,3,1,0,0,140,0,0,0,0,3,,0,June,2007,WD,Normal,100000
125,126,2 FAMILY CONVERSION,RM,60.0,6780,Pave,,0,Lvl,3,Inside,0,IDOTRR,Norm,Norm,2fmCon,1.5Fin,6,8,1935,1982,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,2,CBlock,3,3,2,6,490,1,0,30,520,GasA,4,0,5,520,0,234,754,1,0,1,0,2,1,3,5,0,0,0,,1935.0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,,0,June,2006,WD,Normal,84500
127,128,1-1/2 STORY UNF,RM,55.0,4388,Pave,,1,Bnk,3,Inside,0,OldTown,Feedr,Norm,1Fam,1.5Unf,5,7,1930,1950,Gable,CompShg,WdShing,Wd Sdng,None,0.0,3,4,BrkTil,3,3,0,2,116,1,0,556,672,GasA,5,1,5,840,0,0,840,0,0,1,0,3,1,3,5,0,1,3,,1930.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,June,2007,WD,Normal,87000
144,145,DUPLEX,RM,70.0,9100,Pave,,0,Lvl,3,Inside,0,Sawyer,RRAe,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,HdBoard,HdBoard,BrkFace,336.0,3,3,CBlock,3,3,0,3,1332,1,0,396,1728,GasA,3,1,5,1728,0,0,1728,1,0,2,0,6,2,3,10,0,0,0,Detchd,1963.0,1,2,504,3,3,2,0,0,0,0,0,0,0,0,,0,Nov,2006,ConLI,Abnorml,125000
145,146,2-STORY PUD 1946+,RM,24.0,2522,Pave,,0,Lvl,3,Inside,0,Edwards,Norm,Norm,Twnhs,2Story,6,5,2004,2006,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,4,3,PConc,4,3,0,1,0,1,0,970,970,GasA,5,1,5,970,739,0,1709,0,0,2,0,3,1,4,7,5,0,0,Detchd,2004.0,1,2,380,3,3,2,0,40,0,0,0,0,0,0,,0,Apr,2006,WD,Normal,130000
146,147,1-STORY 1945-,RM,51.0,6120,Pave,,0,Lvl,3,Corner,0,BrkSide,Norm,Norm,1Fam,1Story,5,7,1931,1993,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,4,209,1,0,506,715,GasA,3,1,4,875,0,0,875,1,0,1,0,2,1,3,5,0,0,0,Detchd,1931.0,1,1,180,2,3,2,48,0,0,0,0,0,0,0,,0,Nov,2009,WD,Normal,105000
149,150,1-1/2 STORY FIN,RM,,6240,Pave,,0,Lvl,3,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1936,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,4,3,0,1,0,1,0,896,896,GasA,4,1,4,896,448,0,1344,0,0,1,0,3,1,3,7,0,0,0,Detchd,1936.0,1,1,240,2,3,2,200,114,0,0,0,0,0,0,,0,Apr,2006,WD,Normal,115000
154,155,1-STORY 1945-,RM,84.0,11340,Pave,,0,Lvl,3,Corner,0,OldTown,Norm,Norm,1Fam,1Story,6,5,1923,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,1200,1200,GasA,3,1,4,1200,0,0,1200,0,0,1,0,4,1,3,7,0,0,0,Detchd,1923.0,1,1,312,2,2,2,0,0,228,0,0,0,0,0,,0,Mar,2006,WD,Family,125000
164,165,1-STORY W/ ATTIC,RM,40.0,5400,Pave,Pave,0,Lvl,3,Corner,0,OldTown,Norm,Norm,1Fam,1Story,6,7,1926,2004,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,3,3,1,2,370,1,0,779,1149,GasA,4,1,4,1149,467,0,1616,0,0,2,0,3,1,4,5,0,0,0,Detchd,1926.0,1,1,216,3,3,2,0,0,183,0,0,0,0,0,,0,Oct,2007,WD,Normal,152000
170,171,1-1/2 STORY FIN,RM,,12358,Pave,,1,Lvl,3,Inside,0,OldTown,Feedr,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,0,3,360,1,0,360,720,GasA,3,1,5,854,0,528,1382,0,0,1,1,2,1,3,7,0,0,0,Detchd,1991.0,1,2,660,3,3,2,237,0,0,0,0,0,0,0,,0,May,2007,WD,Normal,128500
179,180,1-STORY 1945-,RM,60.0,8520,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1Story,5,6,1923,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,CBlock,3,3,0,1,0,1,0,968,968,GasA,3,1,5,968,0,0,968,0,0,1,0,2,1,3,5,0,0,0,Detchd,1935.0,1,2,480,2,3,0,0,0,184,0,0,0,0,0,,0,July,2007,WD,Normal,100000
183,184,1-1/2 STORY FIN,RM,63.0,11426,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0,1,0,1,0,1362,1362,GasA,5,1,5,1362,720,0,2082,0,0,2,1,3,1,4,6,3,0,0,Detchd,2003.0,1,2,484,3,3,0,280,238,0,0,0,0,0,0,,0,June,2008,WD,Normal,200000
185,186,2-1/2 STORY,RM,90.0,22950,Pave,,2,Lvl,3,Inside,0,OldTown,Artery,Norm,1Fam,2.5Fin,10,9,1892,1993,Gable,WdShngl,Wd Sdng,Wd Sdng,None,0.0,4,4,BrkTil,3,3,1,1,0,1,0,1107,1107,GasA,5,1,5,1518,1518,572,3608,0,0,2,1,4,1,5,12,0,2,3,Detchd,1993.0,1,3,840,5,3,2,0,260,0,0,410,0,0,4,,0,June,2006,WD,Normal,475000
193,194,2-STORY PUD 1946+,RM,24.0,2522,Pave,,0,Lvl,3,Inside,0,Edwards,Norm,Norm,Twnhs,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,4,3,PConc,4,3,0,1,0,1,0,970,970,GasA,5,1,5,970,739,0,1709,0,0,2,0,3,1,4,7,5,0,0,Detchd,2004.0,1,2,380,3,3,2,0,40,0,0,0,0,0,0,,0,May,2006,WD,Normal,130000
198,199,2-1/2 STORY,RM,92.0,5520,Pave,,0,Lvl,3,Corner,0,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,1912,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,1,0,1,0,755,755,GasA,5,1,5,929,929,371,2229,0,0,1,0,5,1,3,8,0,0,0,,1912.0,0,0,0,0,0,2,0,198,30,0,0,0,0,3,,0,July,2009,WD,Abnorml,104000
200,201,1-STORY 1946+,RM,80.0,8546,Pave,,0,Lvl,3,Corner,0,Edwards,Norm,Norm,1Fam,1Story,4,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0,1,0,1,0,1121,1121,GasA,5,1,5,1121,0,0,1121,0,0,2,0,2,1,3,5,0,0,0,Attchd,2003.0,2,2,440,3,3,2,132,64,0,0,0,0,0,0,,0,Mar,2010,WD,Normal,140000
203,204,1-STORY PUD 1946+,RM,,4438,Pave,,0,Lvl,3,Inside,0,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,205.0,4,3,PConc,4,3,2,6,662,1,0,186,848,GasA,5,1,5,848,0,0,848,1,0,1,0,1,1,4,3,0,1,4,Attchd,2004.0,2,2,420,3,3,2,149,0,0,0,0,0,0,0,,0,Jan,2008,WD,Normal,149000
204,205,1-1/2 STORY FIN,RM,50.0,3500,Pave,Grvl,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1947,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,CBlock,3,3,0,2,312,1,0,408,720,GasA,3,1,5,720,564,0,1284,0,0,1,1,2,1,3,5,0,0,0,Detchd,1948.0,1,1,240,3,3,2,0,35,0,0,0,0,0,1,,0,Apr,2009,WD,Normal,110000
217,218,2-STORY 1945-,RM,57.0,9906,Pave,Grvl,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,2Story,4,4,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,0,1,0,1,0,686,686,GasA,2,0,5,810,518,0,1328,0,0,1,0,3,1,3,8,0,0,0,Detchd,1940.0,1,1,210,3,3,2,0,172,60,0,0,0,0,0,,0,Sept,2006,WD,Family,107000
225,226,2-STORY PUD 1946+,RM,21.0,1680,Pave,,0,Lvl,3,Inside,0,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,142.0,3,3,CBlock,3,3,0,1,0,1,0,630,630,GasA,3,1,5,630,672,0,1302,0,0,2,1,3,1,3,6,0,0,0,Detchd,1991.0,1,1,280,3,3,2,0,0,0,0,0,0,0,0,,0,May,2009,COD,Abnorml,112000
227,228,2-STORY PUD 1946+,RM,21.0,1869,Pave,,0,Lvl,3,Inside,0,BrDale,Norm,Norm,Twnhs,2Story,6,6,1970,1970,Gable,CompShg,HdBoard,HdBoard,BrkFace,127.0,3,3,CBlock,3,3,0,3,321,1,0,162,483,GasA,3,1,5,483,504,0,987,0,0,1,1,2,1,3,5,0,0,0,Detchd,1987.0,1,1,280,3,3,2,0,0,0,0,0,0,0,0,,0,Sept,2008,WD,Normal,106000
232,233,2-STORY PUD 1946+,RM,21.0,1680,Pave,,0,Lvl,3,Inside,0,BrDale,Norm,Norm,Twnhs,2Story,6,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,297.0,3,3,CBlock,3,3,0,1,0,1,0,483,483,GasA,3,1,5,483,504,0,987,0,0,1,1,2,1,3,5,0,1,1,Attchd,1972.0,1,1,288,3,3,2,0,0,0,0,0,0,0,0,,0,June,2006,WD,Normal,94500
235,236,2-STORY PUD 1946+,RM,21.0,1680,Pave,,0,Lvl,3,Inside,0,BrDale,Norm,Norm,TwnhsE,2Story,6,3,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,604.0,3,3,CBlock,3,3,0,5,358,1,0,125,483,GasA,3,1,5,483,504,0,987,0,0,1,1,2,1,3,5,0,0,0,Detchd,1971.0,1,1,264,3,3,2,0,0,0,0,0,0,0,0,,0,Aug,2008,WD,Normal,89500
241,242,1-STORY 1945-,RM,40.0,3880,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1Story,5,9,1945,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,0,5,329,1,0,357,686,GasA,4,1,5,866,0,0,866,0,0,1,0,2,1,4,4,0,0,0,,1945.0,0,0,0,0,0,2,58,42,0,0,0,0,0,0,,0,Aug,2007,WD,Normal,110500
242,243,1-1/2 STORY FIN,RM,63.0,5000,Pave,,0,Lvl,3,Corner,0,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,1900,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,540,540,GasA,4,0,4,889,551,0,1440,0,0,1,0,3,1,3,6,0,0,0,Attchd,1940.0,1,1,352,2,3,2,0,0,77,0,0,0,0,0,,0,Apr,2006,WD,Normal,79000
246,247,2 FAMILY CONVERSION,RM,69.0,9142,Pave,Grvl,0,Lvl,3,Inside,0,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,2,Stone,2,3,0,1,0,1,0,1020,1020,GasA,4,0,2,908,1020,0,1928,0,0,2,0,4,2,2,9,0,0,0,Detchd,1910.0,1,1,440,1,1,2,0,60,112,0,0,0,0,0,,0,Apr,2006,WD,Normal,137000
251,252,1-STORY PUD 1946+,RM,44.0,4750,Pave,,1,HLS,3,Inside,1,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,Stone,481.0,4,3,PConc,4,3,3,6,1573,1,0,0,1573,GasA,5,1,5,1625,0,0,1625,1,1,2,0,2,1,4,5,0,1,4,Attchd,2006.0,3,2,538,3,3,2,123,0,0,0,153,0,0,0,,0,Dec,2007,WD,Family,235000
259,260,1-STORY 1946+,RM,70.0,12702,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,None,0.0,3,3,PConc,0,0,0,0,0,0,0,0,0,GasA,4,1,4,882,0,0,882,0,0,1,0,2,1,3,4,0,0,0,Detchd,1956.0,1,1,308,3,3,2,0,45,0,0,0,0,0,0,,0,Dec,2008,WD,Normal,97000
263,264,1-1/2 STORY FIN,RM,50.0,5500,Pave,,0,Lvl,3,Corner,0,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,2,234,5,692,0,926,GasA,3,1,5,926,0,390,1316,1,0,1,0,3,1,3,6,0,0,0,Detchd,1974.0,1,2,484,3,3,2,0,0,0,0,0,0,0,0,,0,Apr,2010,WD,Normal,130000
264,265,1-STORY 1945-,RM,30.0,5232,Pave,Grvl,3,Bnk,3,Inside,0,OldTown,Artery,Norm,1Fam,1Story,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2,3,0,1,0,1,0,680,680,GasA,4,0,2,764,0,0,764,0,0,1,0,2,1,3,4,0,0,0,Detchd,1965.0,1,2,504,3,3,0,0,0,0,0,0,0,0,0,,0,June,2008,WD,Normal,73000
268,269,1-STORY 1945-,RM,71.0,6900,Pave,,0,Lvl,3,Inside,0,IDOTRR,Norm,Norm,1Fam,1Story,5,6,1940,1955,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0,5,403,3,125,212,740,GasA,5,1,5,778,0,0,778,0,0,1,0,2,1,3,4,0,1,4,Detchd,1966.0,3,1,924,5,5,2,0,25,0,0,0,0,0,0,,0,Feb,2008,WD,Normal,120500
296,297,1-1/2 STORY FIN,RM,75.0,13710,Pave,,0,Lvl,3,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,5,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,4,420,1,0,490,910,GasA,3,1,4,910,648,0,1558,0,0,1,1,4,1,3,6,0,0,0,Attchd,1950.0,1,1,282,3,3,2,289,0,0,0,0,0,0,3,,0,June,2007,WD,Normal,152000
