,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
304,305,2-1/2 STORY,RM,87.0,18386,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,2.5Fin,7,9,1880,2002,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,1470,1470,GasA,5,1,5,1675,1818,0,3493,0,0,3,0,3,1,4,10,0,1,5,Attchd,2003.0,1,3,870,3,3,2,302,0,0,0,0,0,0,0,,0,May,2008,WD,Normal,295000
307,308,1-1/2 STORY FIN,RM,,7920,Pave,Grvl,1,Lvl,3,Inside,0,IDOTRR,Artery,Norm,1Fam,1.5Fin,6,7,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,2,CBlock,3,3,0,1,0,1,0,319,319,GasA,3,1,4,1035,371,0,1406,0,0,1,0,3,1,2,6,0,0,0,,1920.0,0,0,0,0,0,0,0,144,0,0,0,0,0,3,,0,Mar,2008,WD,Normal,89500
312,313,2 FAMILY CONVERSION,RM,65.0,7800,Pave,,0,Lvl,3,Inside,0,OldTown,Artery,Norm,2fmCon,1.5Fin,5,7,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,1,3,507,1,0,286,793,GasA,3,1,5,793,325,0,1118,1,0,1,0,3,1,3,5,0,1,4,Detchd,1939.0,1,2,410,3,3,2,0,0,0,0,271,0,0,3,,0,May,2006,WD,Normal,119900
314,315,2-STORY 1945-,RM,60.0,9600,Pave,Grvl,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,2Story,7,7,1925,1990,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,4,0,2,16,1,0,712,728,GasA,5,1,5,832,809,0,1641,0,1,1,1,3,1,5,6,0,1,4,Detchd,1925.0,1,2,546,2,3,2,0,0,234,0,0,0,0,0,,0,Aug,2006,WD,Normal,178000
323,324,1-STORY 1946+,RM,49.0,5820,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1Story,3,8,1955,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,0,5,256,1,0,906,1162,GasA,5,1,5,1163,0,0,1163,1,0,1,0,3,1,3,6,0,0,0,Attchd,1955.0,1,1,220,2,3,2,142,98,0,0,0,0,0,0,,0,July,2006,WD,Normal,126175
325,326,1-1/2 STORY UNF,RM,50.0,5000,Pave,,0,Lvl,3,Inside,0,IDOTRR,RRAe,Norm,1Fam,1.5Unf,5,6,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,2,4,116,1,0,604,720,GasA,1,0,3,803,0,0,803,0,0,1,0,2,1,3,5,0,0,0,Detchd,1941.0,1,2,360,3,3,2,0,0,244,0,0,0,0,0,,0,Dec,2007,WD,Normal,87000
329,330,2-STORY 1945-,RM,60.0,6402,Pave,,0,Lvl,3,Corner,0,IDOTRR,Norm,Norm,1Fam,2Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,WdShing,None,0.0,3,3,PConc,3,3,1,1,0,1,0,596,596,GasA,3,0,5,596,596,0,1192,0,0,1,0,3,1,3,6,0,0,0,Detchd,1920.0,1,1,189,2,2,0,0,0,137,0,0,0,0,2,,0,July,2009,WD,Normal,78000
333,334,1-STORY PUD 1946+,RM,59.0,8198,Pave,,0,Lvl,3,FR3,0,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,146.0,4,3,PConc,4,3,2,6,720,1,0,638,1358,GasA,5,1,5,1358,0,0,1358,1,0,2,0,2,1,4,6,0,1,4,Attchd,2004.0,2,2,484,3,3,2,192,30,0,0,0,0,0,0,,0,July,2008,WD,Normal,207000
344,345,2-STORY PUD 1946+,RM,36.0,2592,Pave,,0,Lvl,3,Inside,0,MeadowV,Norm,Norm,TwnhsE,2Story,5,3,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,4,3,0,3,129,4,232,175,536,GasA,3,1,5,536,576,0,1112,0,0,1,1,3,1,3,4,0,0,0,Attchd,1976.0,1,1,336,3,3,2,182,0,0,0,0,0,0,0,,0,Apr,2010,WD,Normal,85000
353,354,1-STORY 1945-,RM,60.0,8520,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1Story,6,8,1928,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,BrkTil,3,3,0,1,0,1,0,624,624,GasA,4,1,5,720,0,0,720,0,0,1,0,2,1,3,5,0,0,0,Detchd,2005.0,1,2,484,3,3,2,106,0,0,0,0,0,0,0,,0,May,2010,WD,Normal,105900
357,358,1-STORY PUD 1946+,RM,44.0,4224,Pave,,0,Lvl,3,Inside,0,MeadowV,Norm,Norm,TwnhsE,1Story,5,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,0,5,874,1,0,268,1142,GasA,3,1,5,1142,0,0,1142,1,0,1,1,3,1,3,6,0,1,1,Attchd,1976.0,3,2,528,3,3,2,536,90,0,0,0,0,0,3,,0,Aug,2007,WD,Normal,134000
363,364,2-STORY PUD 1946+,RM,21.0,1680,Pave,,0,Lvl,3,Inside,0,BrDale,Norm,Norm,Twnhs,2Story,6,8,1972,2007,Gable,CompShg,HdBoard,HdBoard,BrkFace,510.0,3,3,CBlock,3,3,0,5,162,1,0,321,483,GasA,4,1,5,483,504,0,987,0,0,1,1,2,1,4,5,0,0,0,Detchd,1972.0,1,1,264,3,3,2,250,0,0,0,0,0,0,0,,0,May,2009,WD,Normal,118000
365,366,2-STORY 1945-,RM,59.0,10690,Pave,,0,Lvl,3,Inside,0,IDOTRR,Norm,Norm,1Fam,2Story,5,7,1920,1997,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,2,0,3,456,1,0,216,672,GasA,4,1,4,672,672,0,1344,0,0,1,0,3,1,3,6,0,0,0,Detchd,1964.0,1,1,468,3,2,2,0,128,218,0,0,0,0,0,,0,July,2009,WD,Normal,147000
398,399,1-STORY 1945-,RM,60.0,8967,Pave,,0,Lvl,3,Corner,0,IDOTRR,Norm,Norm,1Fam,1Story,5,2,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,2,BrkTil,2,1,0,1,0,1,0,961,961,GasA,4,1,1,1077,0,0,1077,0,0,1,0,2,1,3,6,4,0,0,Detchd,1920.0,1,1,338,1,1,0,0,0,0,0,0,0,0,0,,0,Nov,2007,WD,Abnorml,67000
413,414,1-STORY 1945-,RM,56.0,8960,Pave,Grvl,0,Lvl,3,Inside,0,OldTown,Artery,Norm,1Fam,1Story,5,6,1927,1950,Gable,CompShg,WdShing,WdShing,None,0.0,3,3,CBlock,3,3,0,1,0,1,0,1008,1008,GasA,4,1,4,1028,0,0,1028,0,0,1,0,2,1,3,5,0,1,4,Detchd,1927.0,1,2,360,3,3,2,0,0,130,0,0,0,0,0,,0,Mar,2010,WD,Normal,115000
420,421,DUPLEX,RM,78.0,7060,Pave,,0,Lvl,3,Inside,0,Mitchel,Norm,Norm,Duplex,SFoyer,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,200.0,3,4,PConc,4,4,3,6,1309,1,0,35,1344,GasA,5,1,5,1344,0,0,1344,2,0,2,0,2,2,3,8,0,0,0,Attchd,1997.0,3,4,784,3,3,2,0,0,0,0,0,0,0,0,,0,Nov,2008,WD,Alloca,206300
425,426,2-STORY 1946+,RM,60.0,3378,Pave,Grvl,0,HLS,3,Inside,0,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,3,3,0,1,0,1,0,651,651,GasA,4,1,5,707,682,0,1389,0,0,1,1,3,1,3,6,0,2,4,Detchd,1947.0,1,1,240,3,3,1,0,0,126,0,0,0,0,0,,0,Sept,2009,WD,Normal,135000
430,431,2-STORY PUD 1946+,RM,21.0,1680,Pave,,0,Lvl,3,Inside,0,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,0,5,387,1,0,96,483,GasA,3,1,5,483,504,0,987,0,0,1,1,2,1,3,4,0,0,0,Detchd,1971.0,1,1,264,3,3,2,0,0,0,0,0,0,0,0,,0,July,2008,COD,Abnorml,85400
431,432,1-1/2 STORY FIN,RM,60.0,5586,Pave,,1,Bnk,3,Inside,0,OldTown,Feedr,Norm,1Fam,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,901,901,GasA,4,1,5,1088,110,0,1198,0,0,1,0,4,1,3,7,0,0,0,,1920.0,0,0,0,0,0,0,0,98,0,0,0,0,0,3,,0,Sept,2008,ConLD,Abnorml,79900
432,433,2-STORY PUD 1946+,RM,24.0,1920,Pave,,0,Lvl,3,Inside,0,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,376.0,3,3,CBlock,3,3,0,5,471,1,0,294,765,GasA,5,1,5,765,600,0,1365,1,0,1,1,2,1,3,6,1,0,0,Detchd,1971.0,1,2,440,3,3,2,240,36,0,0,0,0,0,0,,0,Aug,2007,WD,Normal,122500
434,435,MULTILEVEL PUD,RM,21.0,1890,Pave,,0,Lvl,3,Inside,0,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,CBlock,4,3,2,5,495,1,0,135,630,GasA,4,1,5,630,0,0,630,1,0,1,0,1,1,3,3,0,0,0,,1972.0,0,0,0,0,0,2,88,0,0,0,0,0,0,0,,0,June,2008,WD,Normal,81000
436,437,1-1/2 STORY FIN,RM,40.0,4400,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1920,1950,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,2,3,0,1,0,1,0,648,648,GasA,3,1,4,734,384,0,1118,0,0,1,0,2,1,3,6,0,0,0,Detchd,1990.0,1,2,440,3,3,2,0,0,0,0,0,0,0,0,,0,Oct,2006,WD,Normal,116000
437,438,1-1/2 STORY UNF,RM,50.0,6000,Pave,,0,Lvl,3,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,PConc,3,3,0,1,0,1,0,884,884,GasA,4,1,5,904,0,0,904,0,0,1,0,2,1,3,4,0,0,0,Detchd,1926.0,1,1,180,3,3,2,0,0,105,0,0,0,0,0,,0,Jan,2009,WD,Normal,119000
442,443,1-1/2 STORY FIN,RM,52.0,6240,Pave,,0,Lvl,3,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,3,3,0,1,0,1,0,1078,1078,GasA,3,1,5,1128,445,0,1573,0,0,2,0,3,1,3,8,0,1,4,Detchd,1930.0,1,2,360,3,3,1,0,0,0,0,0,0,0,0,,0,June,2008,WD,Normal,162900
448,449,1-1/2 STORY FIN,RM,50.0,8600,Pave,,0,Bnk,3,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,780,780,GasA,3,1,5,780,596,0,1376,0,0,2,0,3,1,3,7,0,1,4,Detchd,1937.0,1,1,198,3,3,0,0,0,0,0,0,0,0,0,,0,June,2006,WD,Normal,119500
449,450,1-1/2 STORY FIN,RM,50.0,6000,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,0,5,331,1,0,318,649,GasA,5,1,5,679,504,0,1183,0,0,1,1,2,1,3,6,0,0,0,Detchd,1981.0,1,1,308,3,3,2,0,176,0,0,0,0,0,0,,0,June,2007,WD,Normal,120000
450,451,1-STORY 1945-,RM,70.0,5684,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,813,813,GasA,5,1,4,813,0,0,813,0,0,1,0,2,1,4,5,0,0,0,Detchd,1932.0,1,1,270,2,2,0,0,113,0,0,0,0,0,0,,0,June,2006,WD,Normal,110000
456,457,2-STORY 1945-,RM,34.0,4571,Pave,Grvl,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,624,624,GasA,2,0,5,624,720,0,1344,0,0,1,0,4,1,3,7,0,0,0,Detchd,1916.0,1,3,513,2,2,2,0,0,96,0,0,0,0,0,,0,May,2008,COD,Abnorml,98000
458,459,2-STORY 1945-,RM,,5100,Pave,Grvl,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,1996,Hip,CompShg,Stucco,WdShing,None,0.0,3,4,PConc,3,3,0,1,0,1,0,588,588,GasA,2,1,5,833,833,0,1666,0,0,1,0,3,1,4,7,0,1,4,Detchd,1925.0,1,1,228,3,3,2,192,63,0,0,0,0,0,3,,0,June,2008,WD,Normal,161000
465,466,1-STORY PUD 1946+,RM,,3072,Pave,,0,Lvl,3,Inside,0,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,18.0,4,3,PConc,4,3,0,1,0,1,0,1375,1375,GasA,5,1,5,1414,0,0,1414,0,0,2,0,2,1,4,6,0,1,3,Attchd,2004.0,3,2,398,3,3,2,144,20,0,0,0,0,0,0,,0,May,2006,WD,Normal,178740
472,473,MULTILEVEL PUD,RM,35.0,3675,Pave,,0,Lvl,3,Inside,0,Edwards,Norm,Norm,TwnhsE,SLvl,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,3,3,PConc,4,3,3,6,459,1,0,88,547,GasA,5,1,5,1072,0,0,1072,1,0,1,0,2,1,3,5,0,0,0,Basment,2005.0,2,2,525,3,3,2,0,28,0,0,0,0,0,0,,0,June,2008,WD,Normal,148000
479,480,1-STORY 1945-,RM,50.0,5925,Pave,,0,Bnk,3,Inside,0,OldTown,Norm,Norm,1Fam,1Story,4,7,1937,2000,Hip,CompShg,Stucco,Stucco,BrkCmn,435.0,3,3,BrkTil,2,3,0,3,168,1,0,739,907,GasA,3,1,5,1131,0,0,1131,0,0,1,0,2,1,3,7,0,0,0,Detchd,1995.0,1,2,672,3,3,2,0,72,0,0,0,0,0,3,,0,Mar,2007,WD,Alloca,89471
482,483,2-STORY 1945-,RM,50.0,2500,Pave,Pave,0,Lvl,3,Corner,0,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,2005,Gable,CompShg,Stucco,Stucco,None,0.0,4,3,PConc,3,3,0,5,299,1,0,611,910,GasA,5,1,5,916,910,0,1826,1,0,1,1,4,1,5,7,2,1,4,Attchd,1915.0,1,1,164,2,2,2,0,0,0,0,0,0,0,0,,0,June,2009,WD,Normal,155000
483,484,1-STORY PUD 1946+,RM,32.0,4500,Pave,,0,Lvl,3,FR2,0,Mitchel,Norm,Norm,Twnhs,1Story,6,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,116.0,3,3,PConc,5,3,0,6,897,1,0,319,1216,GasA,5,1,5,1216,0,0,1216,1,0,2,0,2,1,3,5,0,0,0,Attchd,1998.0,1,2,402,3,3,2,0,125,0,0,0,0,0,0,,0,May,2006,WD,Normal,164000
489,490,MULTILEVEL PUD,RM,21.0,1526,Pave,,0,Lvl,3,Inside,0,MeadowV,Norm,Norm,Twnhs,SFoyer,4,8,1970,2002,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,CBlock,4,3,2,6,515,1,0,115,630,GasA,3,1,5,630,0,0,630,1,0,1,0,1,1,4,3,0,0,0,Attchd,1970.0,1,1,286,3,3,2,0,0,0,0,0,0,0,0,,0,May,2009,WD,Normal,86000
490,491,2-STORY PUD 1946+,RM,,2665,Pave,,0,Lvl,3,Inside,0,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,1,1,0,1,0,264,264,GasA,3,1,5,616,688,0,1304,0,0,1,1,3,1,3,4,0,1,4,BuiltIn,1976.0,3,1,336,3,3,2,141,24,0,0,0,0,0,0,,0,June,2008,WD,Normal,115000
494,495,1-STORY 1945-,RM,50.0,5784,Pave,,0,Lvl,3,Inside,0,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,0,1,0,1,0,190,190,GasA,4,1,4,886,0,0,886,0,0,1,0,2,1,3,4,0,0,0,Attchd,1938.0,1,1,273,3,3,2,144,20,80,0,0,0,0,0,,0,Dec,2009,WD,Normal,91300
500,501,2-STORY PUD 1946+,RM,21.0,1890,Pave,,0,Lvl,3,Inside,0,BrDale,Norm,Norm,Twnhs,2Story,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,285.0,3,3,CBlock,3,3,0,4,356,1,0,316,672,GasA,3,1,5,672,546,0,1218,0,0,1,1,3,1,3,7,0,0,0,Detchd,1973.0,1,1,264,3,3,2,144,28,0,0,0,0,0,0,,0,May,2007,WD,Normal,113000
505,506,DUPLEX,RM,60.0,7596,Pave,Grvl,0,Lvl,3,Inside,0,OldTown,Artery,Norm,Duplex,2Story,5,5,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,360.0,3,3,CBlock,3,3,0,1,0,1,0,960,960,GasA,4,1,5,960,1000,0,1960,0,0,2,0,4,2,3,10,0,0,0,Detchd,1952.0,1,2,400,3,3,0,0,0,0,0,0,0,0,0,,0,July,2009,COD,Normal,124500
508,509,2-STORY 1945-,RM,60.0,9600,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,2Story,7,9,1928,2005,Gambrel,CompShg,MetalSd,MetalSd,None,0.0,3,5,BrkTil,3,3,0,3,141,1,0,548,689,GasA,5,1,5,689,689,0,1378,0,0,2,0,3,1,4,7,0,1,4,Detchd,1928.0,1,2,360,3,3,0,0,0,116,0,0,0,0,0,,0,Oct,2008,WD,Normal,161000
522,523,1-1/2 STORY FIN,RM,50.0,5000,Pave,,0,Lvl,3,Corner,0,BrkSide,Feedr,Norm,1Fam,1.5Fin,6,7,1947,1950,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,CBlock,3,3,0,5,399,1,0,605,1004,GasA,5,1,5,1004,660,0,1664,0,0,2,0,3,1,3,7,0,2,4,Detchd,1950.0,1,2,420,3,3,2,0,24,36,0,0,0,0,0,,0,Oct,2006,WD,Normal,159000
530,532,2-STORY 1945-,RM,60.0,6155,Pave,,1,Lvl,3,FR3,0,BrkSide,RRNn,Feedr,1Fam,2Story,6,8,1920,1999,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2,2,1,1,0,1,0,611,611,GasA,5,1,5,751,611,0,1362,0,0,2,0,3,1,3,6,0,0,0,Detchd,1920.0,3,2,502,3,2,2,0,0,84,0,0,0,0,0,,0,June,2008,WD,Normal,128000
547,549,1-STORY 1946+,RM,49.0,8235,Pave,,1,HLS,3,Inside,0,OldTown,Feedr,RRNn,1Fam,1Story,5,7,1955,1995,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,0,2,180,3,645,0,825,GasA,3,1,5,825,0,0,825,1,0,1,0,2,1,3,4,0,0,0,Detchd,1963.0,2,2,720,3,3,2,140,50,0,0,0,0,0,3,,0,June,2008,WD,Normal,125000
550,552,1-STORY 1946+,RM,50.0,6000,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1Story,5,6,1957,1957,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,0,3,308,1,0,620,928,GasA,4,1,4,928,0,0,928,0,0,1,0,3,1,3,5,0,0,0,Attchd,1957.0,3,1,288,3,3,2,0,0,0,0,0,0,0,0,,0,June,2008,WD,Normal,112500
554,556,1-1/2 STORY UNF,RM,58.0,6380,Pave,,0,Lvl,3,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Unf,5,6,1922,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,2,0,1,0,1,0,993,993,GasA,3,1,4,1048,0,0,1048,0,0,1,0,2,1,3,5,0,1,4,Detchd,1922.0,1,1,280,3,3,2,0,0,116,0,0,0,0,0,,0,Aug,2006,WD,Normal,113000
578,580,1-1/2 STORY FIN,RM,81.0,12150,Pave,Grvl,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,0,1,0,1,0,1050,1050,GasA,5,0,3,1050,745,0,1795,0,0,2,0,4,1,3,7,0,0,0,Attchd,1954.0,1,1,352,2,3,2,0,0,0,0,0,0,0,0,,0,Nov,2008,WD,Normal,131500
582,584,2-1/2 STORY,RM,75.0,13500,Pave,,0,Lvl,3,Inside,0,OldTown,Artery,PosA,1Fam,2.5Unf,10,9,1893,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,5,5,BrkTil,3,3,0,1,0,1,0,1237,1237,GasA,4,1,5,1521,1254,0,2775,0,0,3,1,3,1,4,9,0,1,4,Detchd,1988.0,1,2,880,4,3,2,105,502,0,0,0,0,0,0,,0,July,2008,WD,Normal,325000
583,585,1-1/2 STORY FIN,RM,51.0,6120,Pave,,0,Lvl,3,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,4,7,1935,1995,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,884,884,GasA,5,1,5,989,584,0,1573,0,0,1,0,3,1,4,6,0,0,0,Detchd,1935.0,1,1,240,3,3,2,0,0,54,0,120,0,0,0,,0,July,2009,WD,Normal,133000
588,590,1-STORY W/ ATTIC,RM,50.0,9100,Pave,,0,Lvl,3,Inside,0,BrkSide,RRAn,Feedr,1Fam,1Story,5,6,1930,1960,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,742,742,GasA,3,1,4,779,0,156,935,0,0,1,0,2,1,3,4,0,0,0,Detchd,1988.0,1,1,308,3,3,1,0,0,0,0,0,0,0,0,Shed,600,Aug,2008,WD,Normal,79500
592,594,1-STORY PUD 1946+,RM,,4435,Pave,,0,Lvl,3,Inside,0,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,4,3,PConc,4,3,2,6,685,1,0,163,848,GasA,5,1,5,848,0,0,848,1,0,1,0,1,1,4,4,0,0,0,Attchd,2003.0,3,2,420,3,3,2,140,0,0,0,0,0,0,0,,0,May,2009,WD,Normal,140000
595,597,2-STORY 1945-,RM,60.0,3600,Pave,Grvl,0,Lvl,3,Inside,0,OldTown,Norm,Norm,1Fam,2Story,6,7,1910,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0,1,0,1,0,684,684,GasA,5,0,4,684,684,0,1368,0,0,1,0,3,1,3,7,0,0,0,Detchd,1930.0,1,1,216,3,2,0,0,158,0,0,0,0,0,0,,0,Oct,2006,WD,Normal,114504
598,600,2-STORY PUD 1946+,RM,24.0,1950,Pave,,0,Lvl,3,Inside,0,Blueste,Norm,Norm,Twnhs,2Story,6,6,1980,1980,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,4,3,0,2,81,6,612,23,716,GasA,3,1,5,716,840,0,1556,1,0,2,1,3,1,3,6,0,1,3,Attchd,1980.0,3,2,452,3,3,2,161,0,0,0,0,0,0,4,,0,July,2008,COD,Normal,151000
600,602,1-1/2 STORY FIN,RM,50.0,9000,Pave,,0,Bnk,3,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,PConc,3,3,0,1,0,1,0,780,780,GasA,3,1,5,780,595,0,1375,0,0,1,1,3,1,4,6,0,1,4,Detchd,1979.0,1,1,544,3,3,1,0,162,0,0,126,0,0,0,,0,Dec,2007,WD,Normal,141000
613,615,MULTILEVEL PUD,RM,21.0,1491,Pave,,0,Lvl,3,Inside,0,MeadowV,Norm,Norm,TwnhsE,SFoyer,4,6,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,4,3,2,2,150,6,480,0,630,GasA,5,1,5,630,0,0,630,1,0,1,0,1,1,3,3,0,0,0,,1972.0,0,0,0,0,0,2,96,24,0,0,0,0,0,0,,0,May,2010,WD,Normal,75500
629,631,2-STORY 1945-,RM,50.0,9000,Pave,Grvl,0,Lvl,3,Corner,0,OldTown,Artery,Norm,1Fam,2Story,5,6,1880,1991,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,BrkTil,2,2,0,1,0,1,0,636,636,GasA,3,1,4,1089,661,0,1750,0,0,1,0,3,1,5,8,0,0,0,Detchd,1937.0,1,1,240,2,1,0,0,0,293,0,0,0,0,3,,0,June,2006,WD,Abnorml,124000
