year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank,previous_winner_party,change
2012,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,1071645,1964118,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1155389,2103027,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1385103,2514096,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,151505,300678,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1980,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,198343,327703,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,200267,317867,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,165415,312991,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,136718,336254,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,150543,323826,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,190700,316269,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,232584,388215,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,203054,381975,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,210610,363815,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,227721,370093,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,261043,422609,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,TENNESSEE,TN,47,62,54,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,825879,1476346,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1980,TENNESSEE,TN,47,62,54,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,787761,1617616,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1984,TENNESSEE,TN,47,62,54,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,990212,1711993,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,TENNESSEE,TN,47,62,54,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,947233,1636250,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,TENNESSEE,TN,47,62,54,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,933521,1982638,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,TENNESSEE,TN,47,62,54,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,909146,1894105,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,TENNESSEE,TN,47,62,54,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1061949,2076181,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2004,TENNESSEE,TN,47,62,54,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1384375,2437319,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,TENNESSEE,TN,47,62,54,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,1479178,2599749,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,TENNESSEE,TN,47,62,54,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,1462330,2458577,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,TENNESSEE,TN,47,62,54,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1522925,2508027,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,TENNESSEE,TN,47,62,54,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1852475,3053851,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,TEXAS,TX,48,74,49,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2082319,4071884,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1980,TEXAS,TX,48,74,49,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2510705,4541636,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1984,TEXAS,TX,48,74,49,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,3433428,5397571,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,TEXAS,TX,48,74,49,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,3036829,5427410,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,TEXAS,TX,48,74,49,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,2496071,6154018,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,TEXAS,TX,48,74,49,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,2736167,5611644,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,TEXAS,TX,48,74,49,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,3799639,6407637,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,TEXAS,TX,48,74,49,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,4526917,7410749,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,TEXAS,TX,48,74,49,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,4479328,8077795,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,TEXAS,TX,48,74,49,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,4569843,7993851,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,TEXAS,TX,48,74,49,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,4685047,8969226,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,TEXAS,TX,48,74,49,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,5890347,11315056,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,UTAH,UT,49,87,67,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,337908,541218,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1980,UTAH,UT,49,87,67,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,439687,604152,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,UTAH,UT,49,87,67,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,469105,629656,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,UTAH,UT,49,87,67,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,428442,647008,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,UTAH,UT,49,87,67,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,322632,743998,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,UTAH,UT,49,87,67,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,361911,665629,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,UTAH,UT,49,87,67,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,515096,770754,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,UTAH,UT,49,87,67,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,663742,927844,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,UTAH,UT,49,87,67,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,596030,952370,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,UTAH,UT,49,87,67,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,740600,1017440,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,UTAH,UT,49,87,67,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,515211,1131317,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,UTAH,UT,49,87,67,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,865140,1488289,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,VERMONT,VT,50,13,6,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,100387,183902,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1980,VERMONT,VT,50,13,6,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,94628,213299,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,VERMONT,VT,50,13,6,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,135865,234561,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,VERMONT,VT,50,13,6,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,124331,243328,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,VERMONT,VT,50,13,6,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,133592,289701,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1996,VERMONT,VT,50,13,6,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,137894,258449,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,VERMONT,VT,50,13,6,US PRESIDENT,"GORE, AL",DEMOCRAT,False,149022,294308,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,VERMONT,VT,50,13,6,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,184067,312309,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,VERMONT,VT,50,13,6,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,219262,325046,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,VERMONT,VT,50,13,6,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,199239,299290,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,VERMONT,VT,50,13,6,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,178573,320467,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,VERMONT,VT,50,13,6,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,242820,370968,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,VIRGINIA,VA,51,54,40,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,836554,1697094,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1980,VIRGINIA,VA,51,54,40,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,989609,1866032,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,VIRGINIA,VA,51,54,40,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1337078,2146635,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,VIRGINIA,VA,51,54,40,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,1309162,2191609,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,VIRGINIA,VA,51,54,40,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,1150517,2559129,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,VIRGINIA,VA,51,54,40,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,1138350,2416642,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,VIRGINIA,VA,51,54,40,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1437490,2739447,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,VIRGINIA,VA,51,54,40,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,1716959,3195415,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,VIRGINIA,VA,51,54,40,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1959532,3723260,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
2012,VIRGINIA,VA,51,54,40,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1971820,3854489,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,VIRGINIA,VA,51,54,40,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1981473,3982752,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,VIRGINIA,VA,51,54,40,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,2413568,4460524,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,WASHINGTON,WA,53,91,73,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,777732,1555534,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1980,WASHINGTON,WA,53,91,73,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,865244,1742394,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1051670,1874910,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,WASHINGTON,WA,53,91,73,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,933516,1865253,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1992,WASHINGTON,WA,53,91,73,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,993037,2287565,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1996,WASHINGTON,WA,53,91,73,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1123323,2253837,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,WASHINGTON,WA,53,91,73,US PRESIDENT,"GORE, AL",DEMOCRAT,False,1247652,2487433,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,WASHINGTON,WA,53,91,73,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,1510201,2859084,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,WASHINGTON,WA,53,91,73,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1750848,3036878,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,WASHINGTON,WA,53,91,73,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1755396,3125516,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,WASHINGTON,WA,53,91,73,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1742718,3317019,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2020,WASHINGTON,WA,53,91,73,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,2369612,4087631,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1976,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,435864,750590,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1980,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,367462,737715,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1984,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,405483,735742,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1988,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,341016,653311,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1992,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,331001,683677,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1996,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,327812,636459,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,336475,648124,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2004,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,423778,755792,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,397466,713451,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,417655,670438,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,489371,713051,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,545382,794652,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1976,WISCONSIN,WI,55,35,25,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1040232,2101336,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1980,WISCONSIN,WI,55,35,25,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1088845,2273221,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1198584,2211689,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,WISCONSIN,WI,55,35,25,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,False,1126794,2191608,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1992,WISCONSIN,WI,55,35,25,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1041066,2531064,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
1996,WISCONSIN,WI,55,35,25,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,False,1071971,2196169,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2000,WISCONSIN,WI,55,35,25,US PRESIDENT,"GORE, AL",DEMOCRAT,False,1242987,2598607,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2004,WISCONSIN,WI,55,35,25,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,False,1489504,2997007,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2008,WISCONSIN,WI,55,35,25,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1677211,2983417,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2012,WISCONSIN,WI,55,35,25,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,False,1620985,3071434,20210113,,DEMOCRAT,1.0,DEMOCRAT,0
2016,WISCONSIN,WI,55,35,25,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1405284,2976150,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
2020,WISCONSIN,WI,55,35,25,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1630866,3298041,20210113,,DEMOCRAT,1.0,REPUBLICAN,1
1976,WYOMING,WY,56,83,68,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,92717,156343,20210113,,REPUBLICAN,1.0,DEMOCRAT,1
1980,WYOMING,WY,56,83,68,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,110700,176713,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1984,WYOMING,WY,56,83,68,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,133241,188968,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1988,WYOMING,WY,56,83,68,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,106867,176551,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1992,WYOMING,WY,56,83,68,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,False,79347,199884,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
1996,WYOMING,WY,56,83,68,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,False,105388,211571,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2000,WYOMING,WY,56,83,68,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,147947,213726,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2004,WYOMING,WY,56,83,68,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,False,167629,243861,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2008,WYOMING,WY,56,83,68,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,False,164958,254904,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2012,WYOMING,WY,56,83,68,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,False,170962,250701,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2016,WYOMING,WY,56,83,68,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,174419,258788,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
2020,WYOMING,WY,56,83,68,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,193559,278503,20210113,,REPUBLICAN,1.0,REPUBLICAN,0
